dataset,instance_id,s,p,o,s_local,p_local,o_local,score,proposal_reason,evidence
Academic,pos_3,http://www.example.com/ontologies/myontology#57191379322,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7003551395,57191379322,hasLink,7003551395,0.922417099618086,high_embedding_similarity,Sharma A. || Setzer W.N. || Probing into therapeutic anti-cancer potential of apigenin: Recent trends and future directions
Academic,pos_3,http://www.example.com/ontologies/myontology#7003551395,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#57191379322,7003551395,hasLink,57191379322,0.922417099618086,high_embedding_similarity,Sharma A. || Setzer W.N. || Probing into therapeutic anti-cancer potential of apigenin: Recent trends and future directions
Academic,pos_26,http://www.example.com/ontologies/myontology#56051467800,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#56823395000,56051467800,relatedTo,56823395000,0.7900635206736432,shared_affiliation,Rimbawan || Nurdin N.M. || Proposed Application of Fast Fourier Transform in Near Infra Red Based Non Invasive Blood Glucose Monitoring System
Academic,pos_26,http://www.example.com/ontologies/myontology#56051467800,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56823395000,56051467800,hasLink,56823395000,0.8012704134728627,high_embedding_similarity,Rimbawan || Nurdin N.M. || Proposed Application of Fast Fourier Transform in Near Infra Red Based Non Invasive Blood Glucose Monitoring System
Academic,pos_26,http://www.example.com/ontologies/myontology#56823395000,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56051467800,56823395000,hasLink,56051467800,0.8012704134728627,high_embedding_similarity,Rimbawan || Nurdin N.M. || Proposed Application of Fast Fourier Transform in Near Infra Red Based Non Invasive Blood Glucose Monitoring System
Academic,pos_27,http://www.example.com/ontologies/myontology#18836000200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#26643000200,18836000200,hasLink,26643000200,0.808874011038116,high_embedding_similarity,Jauch A. || Goldschmidt H. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_27,http://www.example.com/ontologies/myontology#26643000200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#18836000200,26643000200,hasLink,18836000200,0.808874011038116,high_embedding_similarity,Jauch A. || Goldschmidt H. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_42,http://www.example.com/ontologies/myontology#34977484800,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7801383595,34977484800,hasLink,7801383595,0.8737859129888224,high_embedding_similarity,"Pulvirenti A. || Malandrino D. || Ex Machina: Analytical platforms, law and the challenges of computational legal science"
Academic,pos_42,http://www.example.com/ontologies/myontology#7801383595,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#34977484800,7801383595,hasLink,34977484800,0.8737859129888224,high_embedding_similarity,"Pulvirenti A. || Malandrino D. || Ex Machina: Analytical platforms, law and the challenges of computational legal science"
Academic,pos_44,http://www.example.com/ontologies/myontology#56041047100,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#56041760500,56041047100,relatedTo,56041760500,0.7954509288071677,shared_affiliation,Malviya N. || Gangurde A. || Forecasting consumer behavior with innovative value proposition for organizations using big data analytics
Academic,pos_44,http://www.example.com/ontologies/myontology#56041047100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56041760500,56041047100,hasLink,56041760500,0.9090185761433539,high_embedding_similarity,Malviya N. || Gangurde A. || Forecasting consumer behavior with innovative value proposition for organizations using big data analytics
Academic,pos_44,http://www.example.com/ontologies/myontology#56041760500,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56041047100,56041760500,hasLink,56041047100,0.9090185761433539,high_embedding_similarity,Malviya N. || Gangurde A. || Forecasting consumer behavior with innovative value proposition for organizations using big data analytics
Academic,pos_48,http://www.example.com/ontologies/myontology#55876456000,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#57193688399,55876456000,hasLink,57193688399,0.8648716130758877,high_embedding_similarity,Giagli K. || Mishra H. || Changing face of wood science in modern era: Contribution of nanotechnology
Academic,pos_48,http://www.example.com/ontologies/myontology#57193688399,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55876456000,57193688399,hasLink,55876456000,0.8648716130758877,high_embedding_similarity,Giagli K. || Mishra H. || Changing face of wood science in modern era: Contribution of nanotechnology
Academic,pos_51,http://www.example.com/ontologies/myontology#56557998600,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#57200144033,56557998600,hasLink,57200144033,0.8542287349683841,high_embedding_similarity,Kim S.Y. || Yi H.J. || Current and planned adoption of data sharing policies by editors of Korean scholarly journals
Academic,pos_51,http://www.example.com/ontologies/myontology#57200144033,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56557998600,57200144033,hasLink,56557998600,0.8542287349683841,high_embedding_similarity,Kim S.Y. || Yi H.J. || Current and planned adoption of data sharing policies by editors of Korean scholarly journals
Academic,pos_52,http://www.example.com/ontologies/myontology#6506544555,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6603843603,6506544555,hasLink,6603843603,0.7715187668784922,high_embedding_similarity,Weisel K.C. || Blau I.W. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_52,http://www.example.com/ontologies/myontology#6603843603,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6506544555,6603843603,hasLink,6506544555,0.7715187668784922,high_embedding_similarity,Weisel K.C. || Blau I.W. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_66,http://www.example.com/ontologies/myontology#55568047800,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7005251631,55568047800,hasLink,7005251631,0.6970486640916234,high_embedding_similarity,Gladics A.J. || Good T.P. || Fishery-specific solutions to seabird bycatch in the U.S. West Coast sablefish fishery
Academic,pos_66,http://www.example.com/ontologies/myontology#7005251631,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55568047800,7005251631,hasLink,55568047800,0.6970486640916234,high_embedding_similarity,Gladics A.J. || Good T.P. || Fishery-specific solutions to seabird bycatch in the U.S. West Coast sablefish fishery
Academic,pos_68,http://www.example.com/ontologies/myontology#55506929600,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#7406297561,55506929600,relatedTo,7406297561,0.7912102694039873,shared_affiliation,"An Z. || Liu M. || Bremsstrahlung spectrum data for thick Al, Ti, Zr, Mo, and W targets by keV electron impact"
Academic,pos_68,http://www.example.com/ontologies/myontology#55506929600,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7406297561,55506929600,hasLink,7406297561,0.8242053880797464,high_embedding_similarity,"An Z. || Liu M. || Bremsstrahlung spectrum data for thick Al, Ti, Zr, Mo, and W targets by keV electron impact"
Academic,pos_68,http://www.example.com/ontologies/myontology#7406297561,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55506929600,7406297561,hasLink,55506929600,0.8242053880797464,high_embedding_similarity,"An Z. || Liu M. || Bremsstrahlung spectrum data for thick Al, Ti, Zr, Mo, and W targets by keV electron impact"
Academic,pos_77,http://www.example.com/ontologies/myontology#56397016500,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6603843603,56397016500,hasLink,6603843603,0.7781687974914245,high_embedding_similarity,Broijl A. || Blau I.W. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_77,http://www.example.com/ontologies/myontology#6603843603,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56397016500,6603843603,hasLink,56397016500,0.7781687974914245,high_embedding_similarity,Broijl A. || Blau I.W. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_80,http://www.example.com/ontologies/myontology#24767226700,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56036676100,24767226700,hasLink,56036676100,0.7971817730161561,high_embedding_similarity,Tobin R. || Sanderson R. || Scholarly context not found: One in five articles suffers from reference rot
Academic,pos_80,http://www.example.com/ontologies/myontology#56036676100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#24767226700,56036676100,hasLink,24767226700,0.7971817730161561,high_embedding_similarity,Tobin R. || Sanderson R. || Scholarly context not found: One in five articles suffers from reference rot
Academic,pos_87,http://www.example.com/ontologies/myontology#35389581400,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55552839600,35389581400,hasLink,55552839600,0.8667775392515011,high_embedding_similarity,Rodriguez-Gil J.L. || Brockmeier E.K. || A guide for using social media in environmental science and a case study by the Students of SETAC
Academic,pos_87,http://www.example.com/ontologies/myontology#55552839600,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#35389581400,55552839600,hasLink,35389581400,0.8667775392515011,high_embedding_similarity,Rodriguez-Gil J.L. || Brockmeier E.K. || A guide for using social media in environmental science and a case study by the Students of SETAC
Academic,pos_88,http://www.example.com/ontologies/myontology#48662601000,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56884159000,48662601000,hasLink,56884159000,0.7999641895278189,high_embedding_similarity,Tonin P. || Pignataro L.M. || Data on a new neurorehabilitation approach targeting functional recovery in stroke patients
Academic,pos_88,http://www.example.com/ontologies/myontology#56884159000,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#48662601000,56884159000,hasLink,48662601000,0.7999641895278189,high_embedding_similarity,Tonin P. || Pignataro L.M. || Data on a new neurorehabilitation approach targeting functional recovery in stroke patients
Academic,pos_91,http://www.example.com/ontologies/myontology#16418058700,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6603724550,16418058700,hasLink,6603724550,0.8684109449369227,high_embedding_similarity,"Pandey T. || Lall C. || Productivity, part 1: Getting things done, using E-mail, scanners, reference managers, note-taking applications, and text expanders"
Academic,pos_91,http://www.example.com/ontologies/myontology#6603724550,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#16418058700,6603724550,hasLink,16418058700,0.8684109449369227,high_embedding_similarity,"Pandey T. || Lall C. || Productivity, part 1: Getting things done, using E-mail, scanners, reference managers, note-taking applications, and text expanders"
Academic,pos_94,http://www.example.com/ontologies/myontology#55788505100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#57210461091,55788505100,hasLink,57210461091,0.9186990212600347,high_embedding_similarity,Premkumar A. || Duncan L.G. || Reproductive (in)justice-two patients with avoidable poor reproductive outcomes
Academic,pos_94,http://www.example.com/ontologies/myontology#57210461091,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55788505100,57210461091,hasLink,55788505100,0.9186990212600347,high_embedding_similarity,Premkumar A. || Duncan L.G. || Reproductive (in)justice-two patients with avoidable poor reproductive outcomes
Academic,pos_99,http://www.example.com/ontologies/myontology#16039906500,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#6507133031,16039906500,relatedTo,6507133031,0.7955572036239907,shared_affiliation,Koutoumanos A. || Sgouropoulou C. || Design for all: Towards a social platform for integrating distributed open-access repositories
Academic,pos_99,http://www.example.com/ontologies/myontology#16039906500,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#6507133031,16039906500,hasLink,6507133031,0.9111440724798142,high_embedding_similarity,Koutoumanos A. || Sgouropoulou C. || Design for all: Towards a social platform for integrating distributed open-access repositories
Academic,pos_99,http://www.example.com/ontologies/myontology#6507133031,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#16039906500,6507133031,hasLink,16039906500,0.9111440724798142,high_embedding_similarity,Koutoumanos A. || Sgouropoulou C. || Design for all: Towards a social platform for integrating distributed open-access repositories
Academic,pos_107,http://www.co-ode.org/ontologies/ont.owl#Co12814,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7405517656,Co12814,hasLink,7405517656,0.6618898309390319,high_embedding_similarity,"Yamamoto Y. || A degenerate optical parametric oscillator network for coherent computation || Council for Science Technology and Innovation, Tokyo, Japan"
Academic,pos_107,http://www.example.com/ontologies/myontology#7405517656,http://www.example.com/ontologies/myontology#hasLink,http://www.co-ode.org/ontologies/ont.owl#Co12814,7405517656,hasLink,Co12814,0.6618898309390319,high_embedding_similarity,"Yamamoto Y. || A degenerate optical parametric oscillator network for coherent computation || Council for Science Technology and Innovation, Tokyo, Japan"
Academic,pos_118,http://www.example.com/ontologies/myontology#7006041807,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#7202573171,7006041807,relatedTo,7202573171,0.7820482432841613,shared_affiliation,"Guarente L. || Turner N. || Erratum: Impairment of an Endothelial NAD+-H2S Signaling Network Is a Reversible Cause of Vascular Aging (Cell (2018) 173(1) (74–89.e20), (S0092867418301521) (10.1016/j.cell.2018.02.008))"
Academic,pos_131,http://www.example.com/ontologies/myontology#56182094600,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56916069100,56182094600,hasLink,56916069100,0.764516262468208,high_embedding_similarity,Mai E.K. || Jarari L. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_131,http://www.example.com/ontologies/myontology#56916069100,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56182094600,56916069100,hasLink,56182094600,0.764516262468208,high_embedding_similarity,Mai E.K. || Jarari L. || Bortezomib before and after high-dose therapy in myeloma: Long-term results from the phase III HOVON-65/GMMG-HD4 trial
Academic,pos_132,http://www.example.com/ontologies/myontology#55344312200,http://www.co-ode.org/ontologies/ont.owl#relatedTo,http://www.example.com/ontologies/myontology#55577540200,55344312200,relatedTo,55577540200,0.7855127900838141,shared_affiliation,"Kubota F.I. || Beuren F.H. || Comparing the bibliographic management softwares: Mendeley, EndNote and Zotero [Comparativo dos softwares de gerenciamento de referências bibliográficas: Mendeley, EndNote e Zotero]"
Academic,pos_132,http://www.example.com/ontologies/myontology#55344312200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55577540200,55344312200,hasLink,55577540200,0.7102558016762832,high_embedding_similarity,"Kubota F.I. || Beuren F.H. || Comparing the bibliographic management softwares: Mendeley, EndNote and Zotero [Comparativo dos softwares de gerenciamento de referências bibliográficas: Mendeley, EndNote e Zotero]"
Academic,pos_132,http://www.example.com/ontologies/myontology#55577540200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#55344312200,55577540200,hasLink,55344312200,0.7102558016762832,high_embedding_similarity,"Kubota F.I. || Beuren F.H. || Comparing the bibliographic management softwares: Mendeley, EndNote and Zotero [Comparativo dos softwares de gerenciamento de referências bibliográficas: Mendeley, EndNote e Zotero]"
Academic,pos_142,http://www.example.com/ontologies/myontology#56381410900,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#9638199200,56381410900,hasLink,9638199200,0.8445569184141504,high_embedding_similarity,Settineri N. || Gianello L. || Facial basal cell carcinomas in elderly frail patients treated with low total-dose radiotherapy
Academic,pos_142,http://www.example.com/ontologies/myontology#9638199200,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#56381410900,9638199200,hasLink,56381410900,0.8445569184141504,high_embedding_similarity,Settineri N. || Gianello L. || Facial basal cell carcinomas in elderly frail patients treated with low total-dose radiotherapy
Academic,pos_146,http://www.example.com/ontologies/myontology#26040632900,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#7005176426,26040632900,hasLink,7005176426,0.8922532136573359,high_embedding_similarity,Denaro N. || Girolomoni G. || Acute skin toxicity management in head and neck cancer patients treated with radiotherapy and chemotherapy or EGFR inhibitors: Literature review and consensus
Academic,pos_146,http://www.example.com/ontologies/myontology#7005176426,http://www.example.com/ontologies/myontology#hasLink,http://www.example.com/ontologies/myontology#26040632900,7005176426,hasLink,26040632900,0.8922532136573359,high_embedding_similarity,Denaro N. || Girolomoni G. || Acute skin toxicity management in head and neck cancer patients treated with radiotherapy and chemotherapy or EGFR inhibitors: Literature review and consensus
